Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,2.682221,2.802850,2.668029,2.802850,1.239568,11561381
1990-01-03,2.802850,2.817041,2.724796,2.753179,1.217600,12022920
1990-01-04,2.753179,2.767371,2.682221,2.724796,1.205047,6810346
1990-01-05,2.717700,2.717700,2.682221,2.689317,1.189357,5281277
1990-01-08,2.689317,2.774466,2.660933,2.738987,1.211323,5903122
1990-01-09,2.738987,2.738987,2.646742,2.675125,1.183080,6206117
1990-01-10,2.668029,2.668029,2.611262,2.668029,1.179942,6373469
1990-01-11,2.668029,2.689317,2.646742,2.660933,1.176804,5804472
1990-01-12,2.632550,2.632550,2.582879,2.597071,1.148561,8362315
1990-01-15,2.597071,2.653837,2.575783,2.575783,1.139146,7439237
1990-01-16,2.575783,2.646742,2.526113,2.646742,1.170528,10955390
1990-01-17,2.646742,2.703508,2.575783,2.597071,1.148561,11290094
1990-01-18,2.597071,2.604167,2.533208,2.575783,1.139146,14344709
1990-01-19,2.575783,2.597071,2.519017,2.533208,1.120317,11575474
1990-01-22,2.533208,2.561592,2.511921,2.526113,1.117179,8323560
1990-01-23,2.526113,2.561592,2.483538,2.533208,1.120317,10173240
1990-01-24,2.533208,2.547400,2.476442,2.540304,1.123455,6972413
1990-01-25,2.540304,2.568688,2.469346,2.490634,1.101489,5173819
1990-01-26,2.490634,2.511921,2.412579,2.497729,1.104627,6642994
1990-01-29,2.497729,2.526113,2.426771,2.476442,1.095213,4495603
1990-01-30,2.476442,2.540304,2.476442,2.511921,1.110903,9991795
1990-01-31,2.511921,2.547400,2.511921,2.533208,1.120317,6410462
1990-02-01,2.533208,2.561592,2.519017,2.519017,1.114041,13004131
1990-02-02,2.519017,2.582879,2.497729,2.533208,1.120317,11096318
1990-02-05,2.533208,2.575783,2.526113,2.575783,1.139146,4516742
1990-02-06,2.575783,2.575783,2.526113,2.568688,1.136008,4987090
1990-02-07,2.568688,2.710604,2.554496,2.703508,1.195632,16687637
1990-02-08,2.703508,2.738987,2.675125,2.696412,1.192495,11513818
1990-02-09,2.696412,2.717700,2.639646,2.646742,1.170528,6732835
1990-02-12,2.639646,2.639646,2.597071,2.597071,1.148561,4384622
1990-02-13,2.597071,2.660933,2.582879,2.632550,1.164252,6162077
1990-02-14,2.646742,2.710604,2.646742,2.653837,1.173665,4775698
1990-02-15,2.653837,2.696412,2.646742,2.682221,1.186218,5046984
1990-02-16,2.604167,2.604167,2.469346,2.490634,1.101489,28999459
1990-02-20,2.448059,2.448059,2.391292,2.398388,1.060693,15990043
1990-02-21,2.391292,2.391292,2.334525,2.391292,1.057554,13923686
1990-02-22,2.391292,2.419675,2.348717,2.348717,1.038725,12870250
1990-02-23,2.348717,2.412579,2.334525,2.355813,1.041864,8418686
1990-02-26,2.355813,2.398388,2.348717,2.398388,1.060693,6049334
1990-02-27,2.398388,2.476442,2.391292,2.405484,1.063830,12340008
1990-02-28,2.405484,2.455154,2.398388,2.448059,1.082660,8358792
1990-03-01,2.440963,2.440963,2.377100,2.384196,1.054416,7583688
1990-03-02,2.384196,2.419675,2.384196,2.412579,1.066968,6056381
1990-03-05,2.412579,2.440963,2.377100,2.405484,1.063830,6877286
1990-03-06,2.405484,2.433867,2.405484,2.412579,1.066968,7044638
1990-03-07,2.448059,2.497729,2.448059,2.476442,1.095213,12421042
1990-03-08,2.476442,2.561592,2.476442,2.540304,1.123455,18070493
1990-03-09,2.540304,2.568688,2.526113,2.533208,1.120317,8156208
1990-03-12,2.533208,2.547400,2.490634,2.533208,1.120317,4738704
1990-03-13,2.533208,2.540304,2.483538,2.511921,1.110903,7055208
1990-03-14,2.511921,2.511921,2.433867,2.497729,1.104627,8665310
1990-03-15,2.497729,2.547400,2.497729,2.497729,1.107268,7895491
1990-03-16,2.519017,2.582879,2.519017,2.561592,1.135580,18868498
1990-03-19,2.561592,2.710604,2.526113,2.703508,1.198492,16465675
1990-03-20,2.703508,2.710604,2.653837,2.660933,1.179618,16994155
1990-03-21,2.660933,2.689317,2.639646,2.639646,1.170182,6658848
1990-03-22,2.639646,2.696412,2.611262,2.646742,1.173327,11339419
1990-03-23,2.646742,2.668029,2.625454,2.639646,1.170182,8029373
1990-03-26,2.639646,2.653837,2.625454,2.625454,1.163891,4888440
1990-03-27,2.625454,2.653837,2.604167,2.646742,1.173327,6382277
1990-03-28,2.646742,2.660933,2.618358,2.646742,1.173327,4897248
1990-03-29,2.646742,2.696412,2.639646,2.653837,1.176472,7395197
1990-03-30,2.653837,2.653837,2.582879,2.597071,1.151308,8815046
1990-04-02,2.597071,2.625454,2.547400,2.625454,1.163891,4869062
1990-04-03,2.646742,2.682221,2.646742,2.653837,1.176472,7476230
1990-04-04,2.653837,2.668029,2.582879,2.589975,1.148162,13268371
1990-04-05,2.589975,2.597071,2.547400,2.547400,1.129287,11332373
1990-04-06,2.547400,2.561592,2.476442,2.483538,1.100977,15746942
1990-04-09,2.483538,2.511921,2.455154,2.483538,1.100977,8756914
1990-04-10,2.504825,2.561592,2.504825,2.561592,1.135580,6334714
1990-04-11,2.561592,2.575783,2.540304,2.540304,1.126142,8360554
1990-04-12,2.540304,2.554496,2.519017,2.533208,1.122996,8098075
1990-04-16,2.540304,2.611262,2.540304,2.547400,1.129287,6318859
1990-04-17,2.547400,2.547400,2.519017,2.533208,1.122996,5957731
1990-04-18,2.533208,2.533208,2.469346,2.469346,1.094686,8661787
1990-04-19,2.469346,2.504825,2.455154,2.462250,1.091540,8765722
1990-04-20,2.462250,2.483538,2.433867,2.462250,1.091540,9001776
1990-04-23,2.462250,2.476442,2.419675,2.433867,1.078958,7115102
1990-04-24,2.433867,2.462250,2.412579,2.412579,1.069520,8055797
1990-04-25,2.419675,2.469346,2.419675,2.469346,1.094686,5693491
1990-04-26,2.476442,2.526113,2.476442,2.490634,1.104124,6493258
1990-04-27,2.490634,2.497729,2.426771,2.440963,1.082104,4125667
1990-04-30,2.440963,2.483538,2.433867,2.469346,1.094686,5883744
1990-05-01,2.469346,2.511921,2.469346,2.490634,1.104124,5652974
1990-05-02,2.490634,2.519017,2.476442,2.519017,1.116706,5066362
1990-05-03,2.519017,2.526113,2.476442,2.497729,1.107268,7361726
1990-05-04,2.497729,2.547400,2.490634,2.540304,1.126142,9928378
1990-05-07,2.540304,2.575783,2.519017,2.526113,1.119851,9502070
1990-05-08,2.526113,2.540304,2.476442,2.526113,1.119851,12873773
1990-05-09,2.526113,2.554496,2.519017,2.547400,1.129287,9866722
1990-05-10,2.568688,2.639646,2.568688,2.625454,1.163891,15576067
1990-05-11,2.625454,2.689317,2.604167,2.675125,1.185909,25402272
1990-05-14,2.710604,2.781562,2.710604,2.746083,1.217366,30366461
1990-05-15,2.746083,2.760275,2.717700,2.724796,1.207929,16435728
1990-05-16,2.724796,2.724796,2.604167,2.618358,1.160744,32150962
1990-05-17,2.582879,2.582879,2.526113,2.575783,1.141871,25139794
1990-05-18,2.575783,2.582879,2.547400,2.568688,1.138725,11367605
1990-05-21,2.568688,2.625454,2.561592,2.597071,1.151308,11105126
1990-05-22,2.597071,2.639646,2.597071,2.625454,1.163891,11992973
1990-05-23,2.625454,2.710604,2.618358,2.689317,1.192201,20802734
1990-05-24,2.703508,2.746083,2.703508,2.717700,1.204783,25250774
1990-05-25,2.696412,2.696412,2.639646,2.682221,1.189056,7803888
1990-05-29,2.682221,2.717700,2.682221,2.717700,1.204783,6410462
1990-05-30,2.717700,2.760275,2.682221,2.724796,1.207929,20047008
1990-05-31,2.724796,2.746083,2.710604,2.710604,1.201638,8283043
